spokesperson,question,answer
Karoline Leavitt,Thank you. And my question is for Mike Waltz. (Laughter.),All right.
Karoline Leavitt,The president has called Zelenskyy a dictator. Does he view Putin as a dictator?,"Well, most of our weapons that have gone to Ukraine have been part of a drawdown authority, where we've literally taken them out of our stocks and then, eventually, through appropriations, started buying them again to refill our stocks.I'll, you know, just state that there has been a lag in a lot of that process. So, many of our stocks, as we look at our operations around the world, are becoming more depleted. That's one of the reasons many people have had a lot of concern about: When does this end? How much is it going to take? How many lives will be lost? How much will we be -- how much will we spend?As a member of Congress, we repeatedly asked the Biden administration those questions, and we never got a satisfactory answer.Look, President Trump is obviously very frustrated right now with President Zelenskyy -- the fact that -- that he hasn't come to the table, that he hasn't been willing to take this opportunity that we have offered. I think he eventually will get to that point, and I hope so very quickly.But President Trump is -- as we made clear to our Russian counterparts, and I want to make clear today -- he's focused on stopping the fighting and moving forward. And we could argue all day long about what's happened in the past.MS. LEAVITT: Reagan."
Karoline Leavitt,Thanks. I have a question for Stephen --,(Cross-talk.)
Karoline Leavitt,-- and a question for Mike.,"Excuse me, I just called on Reagan. Reagan, go ahead."
Karoline Leavitt,I have a question for Stephen and a question for Mike.,Sure.
Karoline Leavitt,"Stephen, I can start with you. There have been reports --",Thank you.
Karoline Leavitt,"-- that Trump is unhappy with the rate of deportations and he wants them to be higher. Is the president happy with the rate of deportations, and are there any plans to speed up the process?","Well, first of all, we all appreciate the encouragement from the media to deport as many illegal aliens as humanly possible. So, thank you.And I will promise you that the full might of the Department of Homeland Security, the Department of Justice, the Department of Defense, and every element and instrument of national power will be used to remove, with speed, all criminal illegals from the soil of the United States of America, to enforce final removal orders, and to ensure that this country is for American citizens and those who legally belong in this country.We inherited an ICE that was completely shuttered. We inherited a Department of Homeland Security whose sole mission was to resettle illegal aliens within the United States of America.In 30 days, the president sealed the border shut, declared the cartels to be terrorist organizations, has increased ICE deportations to levels not seen in decades, and we are shortly on the verge of achieving a pace and speed of deportations this country has never before seen.Thank you."
Karoline Leavitt,And Mike.,Mm-hmm.
Karoline Leavitt,"There have been reports that there's some underground opposition to Trump's pick for Undersecretary of Defense for Policy, Elbridge Colby. Have you or anyone from the administration been personally lobbying senators to support Elbridge Colby?","Look, I've worked with Bridge Co- -- Colby in the past. He has the president's full support to be the Undersecretary of policy, which will be a critical policy arm for Secretary Hegseth going forward that will implement a lot of these policies.And -- and really, that's -- that's been the extent of it. I think there's been a lot of kind of, you know, breathless -- I don't know -- back-and-forth in the -- in the press, but we're full speed ahead to get the president's team in place so we can implement his America First policy.MS. LEAVITT: Thank you. Mike has spoken pretty extensively. Does anybody have questions for Stephen or for Mr. Hassett?"
Karoline Leavitt,I do.,Nobody wants to talk about the economy? (Laughter.)(Cross-talk.)MS. LEAVITT: Sure.
Karoline Leavitt,IRS.,IRS. Okay. Go ahead.
Karoline Leavitt,"And this would be for either one of you. So, we have reported, several other outlets have reported that about 3,500 people are due to be -- lose their jobs at the IRS by the end of the week. If the goal of these spending cuts across the federal government has been to reduce the debt, why impose some of the deepest cuts we've seen so far at the agency responsible for raising revenue for the federal government?","Well, I think our objective is to make sure that the employees that we pay are being productive and effective. And there are many, many -- more than 100,000 people working to collect taxes, and not all of them are fully occupied. And the Treasury secretary is studying the matter and feels like 3,500 is a small number and probably can get bigger, especially as we improve the IT at the IRS.And so -- so, I think that it's absolutely something that is on the table for good reasons. And the point is that -- don't just talk about the IRS. Talk about all of government, that there are so many places -- I live in D.C.; you maybe live in D.C. -- where you never -- there -- nobody -- nobody is going into the buildings. People aren't commuting because nobody is doing their job. We look back and we see that there are all these people doing two jobs while they're getting a government payroll -- on the payroll.So, the point is, we're fixing that, and the IRS is a small part of that picture."
Karoline Leavitt,"So, you're saying that everybody who's being let go was doing a bad job?","I'm saying that we're studying every agency and deciding who to let go and why, and we're doing so very rationally with a lot of support from analysis."
Karoline Leavitt,"Because we're being told by a lot of people who have been let go at other agencies that they were told they were being dismissed because of poor performance, when, in some cases, they haven't even had a performance review yet because they've only been on the job a couple of months.","Yeah, I've never seen a person who was laid off for poor performance say that they were performing poorly. (Laughter.) Okay?"
Karoline Leavitt,Karoline.,"Good point. Sure, Kaitlan."
Karoline Leavitt,"I have a question. I'll start with you, Kevin Hassett. Thank you for being here. And then I've got a question for Mr. Waltz.","Oh, absolutely not, because imagine if we don't spend government money and we give it back to people, then the -- you know, if they spend it all, then you're even. But they're probably going to save a lot of it, in which case, you're reducing inflation."
Karoline Leavitt,"Okay. So, you're not --","And also, when the government spends a lot, that's what creates inflation. We learned that from Joe Biden. And so, if we reduce government spending, then that's -- you know, reduces inflation. And if you give people money, then they're going to save a bunch of it. And -- and when they save it, then that also reduces demand and reduces inflation."
Karoline Leavitt,"Okay. So, you're not worried about it.","No, I'm not."
Karoline Leavitt,"And, Mr. Waltz, to follow up on Peter's question, you wrote in an op-ed in the fall of 2023 that, quote, Putin is to blame, certainly, like al Qaeda was to blame for 9/11.",Mm-hmm.
Karoline Leavitt,"Do you still feel that way now, or do you share the president's assessment, as he says Ukraine is to blame for the start of this war?","Well, it shouldn't surprise you that I share the president's assessment on all kinds of issues. What I wrote as a Member of Congress is -- was as a former Member of Congress.Look, what I share the president's assessment on is that the war has to end. And what comes with that? What comes with that should be, at some point, elections. What comes with that should be peace. What comes with that is prosperity that we've just offered in this natural resources and economic partnership arrangement: an end to the killing and European security and security for the world. The President is not only determined to do that in Europe, he's determined to do it in the Middle East.And just a few months ago, we had an administration that had tried for 15 months, week after week, sitting with you here, and couldn't get us to a ceasefire, couldn't get our hostages out. Now we're at that point. We're back to the maximum pressure on Iran.And we will -- we have just begun, and we will drive towards a ceasefire and all of those other steps. I'm not going to pre-negotiate or get ahead of the sequencing of all of that. It's a very delicate situation.But this is a president of peace. And who here would argue against peace?"
Karoline Leavitt,"Okay. So, you do share that assessment.","No. Go ahead, Jordan."
Karoline Leavitt,-- then-President Trump --,"Go ahead, Jordan."
Karoline Leavitt,Thank you. So --,"You just had two questions, Kaitlan."
Karoline Leavitt,May I -- can I just --,"Jordan, go ahead."
Karoline Leavitt,Mr. -- Mr. Hassett --,Thank you.
Karoline Leavitt,I have an important follow-up for Mike Waltz.,"Jordan, go ahead. Go ahead."
Karoline Leavitt,"So, Mr. Hassett, you were speaking about tariff revenue, and you also addressed a question about the R- -- IRS. President Trump has spoken about replacing income tax with tariff revenue, especially with all this waste, fraud, and abuse that we're seeing cut. Is that a possibility?","Absolutely. And, in fact, if you think about the China tariff revenue that we're estimating is coming in from the 10 percent that we just added, plus the de minimis thing, that it's between $500 billion and a trillion dollars over 10 years, is our estimate. And that's something that is outside of the reductions that markets are seeing through the negotiations up on the Hill.And so, we expect that the tariff revenue is actually going to make it much easier for Republicans to pass a bill, and that was the President's plan all along.Thank you."
Karoline Leavitt,"And I -- I have a question for Stephen Miller about DOGE. So, you -- you spoke about DOGE. You said roughly $50 billion is set to be cut in a year of waste, fraud, and abuse by unelected bureaucrats. We're hearing this ironic narrative from the President's critics and the left-wing media that Elon Musk is an unelected bureaucrat, and he's doing all this terrible stuff. Isn't one of DOGE's objectives to get -- get rid of the federal bureaucracy, the -- the deep state? And also, who was running the White House when Joe Biden was in office --",(Laughs.)
Karoline Leavitt,-- because I don't know a single person who believes it was Joe Biden?,"Yes. You're -- you're tempting me to say -- (laughs) -- some very harsh things about some of our media friends. The -- yes, it is true that many of the people in this room, for four years, failed to cover the fact that Joe Biden was mentally incompetent and was not running the country.It is also true that many people in this room who have used this talking point that Elon is not elected fail to understand how government works. So, I'm glad for the opportunity for a brief civics lesson.A president is elected by the whole American people. He's the only official in the entire government that is elected by the entire nation. Right? Judges are appointed. Members of Congress are elected at the district or state level. Just one man.And the Constitution, Article Two, has a clause, known as the vesting clause, and it says, The executive power shall be vested in a president, singular. The whole will of democracy is imbued into the elected president. That president then appoints staff to then impose that democratic will onto the government.The threat to democracy -- indeed, the existential threat to democracy -- is the unelected bureaucracy of lifetime, tenured civil servants who believe they answer to no one, who believe they can do whatever they want without consequence, who believe they can set their own agenda no matter what Americans vote for.So, Americans vote for radical FBI reform, and FBI agents say they don't want to change. Or Americans vote for radical reform in our energy policies, but EPA bureaucrats say they don't want to change. Or Americans vote to end DEI -- racist DEI policies, and lawyers in the Department of Justice say they don't want to change.What President Trump is doing is he is removing federal bureaucrats who are defying democracy by failing to implement his lawful orders, which are the will of the whole American people.Thank you."
Karoline Leavitt,Karoline.,"Thank you very much, everybody. I'm looking at the clock. We've almost had an hour of time.(Cross-talk.)MS. LEAVITT: I know a couple of these individuals have a meeting to get to at 2:00 p.m. So, you're welcome to follow up with my team for further questions. We're going to let these guys get back to running the United States government.And we will see you all later. President Trump will be speaking at 3 o'clock at the Black History Month reception.So, thank you. It's good to see you. We'll see you in a bit. Thanks."
Karoline Leavitt,Are there indictments coming for all the fraud we've found?,I'd love to follow up with you. Just set up a time with Karoline.
Karoline Leavitt,Good afternoon.,"It's great to see all of you on this very newsy day, to say the least. I have a couple of updates for you this afternoon.As you know, this morning, the president spoke to President Putin of Russia. They spoke at length, and the president released a statement following that conversation in great detail. I can also confirm that the president just recently got off the phone with President Zelenskyy of Ukraine.His Truth is as follows: I just spoke to President Zelenskyy of Ukraine. The conversation went very well. He, like President Putin, wants to make peace. We discussed a variety of topics having to do with the war, but mostly the meeting that is being set up on Friday in Munich, where Vice President JD Vance and Secretary of State Marco Rubio will lead the delegation. I am hopeful that the results of that meeting will be positive. It is time to stop this ridiculous war where there has been massive and totally unnecessary death and destruction. God bless the people of Russia and Ukraine.I, myself, just spoke to the president about these calls, and he told me to tell all of you they were very good calls. They were very positive. And the administration is wholeheartedly committed to a peace deal to end, once and for all, the Russia-Ukraine war.More on that later. I'm sure you'll have more questions to ask.This week, the president has continued to deliver on his promises to the American people. According to new polling that was released at the beginning of this week by CBS News, an overwhelming 70 percent of Americans said that President Trump is following through on what he pledged to do during his historic campaign.The poll also revealed that Americans see President Trump as a tough, energetic, focused, and effective leader fighting hard to improve their lives and our country. And yesterday, in particular, was a truly special day for the United States of America.Thanks to the great leadership of President Trump and the strong and tough leadership of President Trump, Marc Fogel, an American teacher detained by Russia, was returned to American soil and met with the president here at the White House last night.Special Envoy Steve Witkoff and the rest of President Trump's incredible national security team helped to negotiate the exchange that secured Marc Fogel's release.This event shows a good-faith effort from Russia, and it's a sign, as I just said, that we are moving in the right direction to end this brutal war.Malphine Fogel, Marc's 95-year-old mother, was understandably very worried that she would never see her son again after his arrest in 2021. Mrs. Fogel was actually slated to join President Trump on stage at the July 13th Butler, Pennsylvania, rally to speak out for Marc, and then the infamous assassination attempt against President Trump took place.But that day, before the rally, President Trump promised Marc's mother that when he returned to the White House he would bring her son home. God saved President Trump's life on that day in Butler, Pennsylvania, and now Marc Fogel is back home safely with his family as a result. God is good.The president also continues to bring back common sense to our government. This week, he signed an EO to end the procurement and forced use of paper straws. Taxpayer dollars were wasted on these non-functional and massively unpopular products for no other reason than it made radical activists feel good about themselves.And on trade, President Trump continues to take bold action to protect America's critical steel and aluminum industries, much like he did in his first term. And the president signed proclamations to close existing loopholes and exemptions to restore a true 25 percent tariff on steel and elevate the tariff on aluminum to 25 percent as well. This administration believes these tariffs will protect our national security and put American workers first.And in the Oval Office yesterday with Elon Musk, President Trump took further action to make our federal government more efficient and effective. He signed an EO implementing the DOGE Workforce Optimization Initiative. Now agency heads will coordinate and consult with DOGE to significantly shrink the size of the federal workforce and limit hiring to essential positions only. The unaccountable bureaucracy will finally be reined in.On another important matter, this morning, Senate Republicans continued to confirm President Trump's exceptionally qualified nominees -- most recently, Director of National Intelligence Tulsi Gabbard, who will be joining us later at the White House for her swearing-in ceremony.It's imperative that the remainder of the president's Cabinet nominees are confirmed as quickly as possible.On another important matter this week, illegal alien criminals continue to be arrested and sent home as part of the ongoing mass deportation effort of the Trump administration. Just this week, two planes with 190 Venezuelan illegal aliens arrived in the Venezuelan capital from Fort Bliss, Texas.Here are some of the criminal illegal aliens who were arrested in the country this past week. ICE Atlanta arrested a citizen of Nigeria who had been convicted of money laundering. ICE San Antonio arrested a citizen of Mexico who had been convicted of assault. ICE Denver arrested a citizen of Mexico who had been convicted of aggravated assault. And ICE Houston arrested a citizen of Mexico who had been convicted of aggravated assault.Now, before I take questions, I would like to address an extremely dishonest narrative that we've seen emerging over the past few days.Many outlets in this room have been fearmongering the American people into believing there is a constitutional crisis taking place here at the White House. I've been hearing those words a lot lately. But, in fact, the real constitutional crisis is taking place within our judicial branch, where district court judges in liberal districts across the country are abusing their power to unilaterally block President Trump's basic executive authority.We believe these judges are acting as judicial activists rather than honest arbiters of the law, and they have issued at least 12 injunctions against this administration in the past 14 days, often without citing any evidence or grounds for their lawsuits.This is part of a larger concerted effort by Democrat activists and nothing more than the continuation of the weaponization of justice against President Trump.Quick news flash to these liberal judges who are supporting their obstructionist efforts, 77 million Americans voted to elect this president, and each injunction is an abuse of the rule of law and an attempt to thwart the will of the people.As the president clearly stated in the Oval Office yesterday, we will comply with the law and the courts, but we will also continue to seek every legal remedy to ultimately overturn these radical injunctions and ensure President Trump's policies can be enacted.So, here in our new media seat today, we have Chris Pavlovski, an entrepreneur who has a strong passion for protecting freedom of speech. Chris started the video-sharing platform Rumble in 2013 with a mission of protecting a free and open Internet from censorship by Big Tech and governments around the globe.The platform has always been a place for independent creators to share their authentic opinions, and they have always included President Trump, in contrast to the way he was censored by other platforms in years past.Since its founding, Rumble has grown exponentially, recently marking 67 million monthly active users. That's a lot of users.If you're watching right now and interested in sitting in this seat, you can apply: WhiteHouse.gov/NewMedia.With that, I will take your questions. And, Chris, why don't you kick us off on this very busy news day?"
Karoline Leavitt,"Karoline, thank you very much to -- to you and President Trump.",Sure.
Karoline Leavitt,It's an honor to be sitting here in the new media seat for the White House press briefing and to be able to demonstrate why freedom of expression is so important.,"Sure. Well, thanks for the very important question. And I think that free speech and ending censorship, both here at home and also abroad, is an important part of President Trump's agenda.I think, first, President Trump has led by example on this front as the leader of the free world, the president of the United States, with his show of access and transparency on a daily basis. The president takes questions from all of you almost every single day and really reveals what he's thinking and feeling. And I think that serves as a great example to the rest of the world.As for tangible actions that the president has signed, he did sign an executive order, I believe on day one -- certainly within the first week of this administration -- to restore free speech and stop government-sponsored censorship here at home. And the EO made it very clear that federal employees are not allowed to engage in any activity that would infringe upon the American people's right of free expression. So, I think the president has led quite strongly on this.And I would just add, this is part of the reason we have a new media seat to invite new voices into this room. Again, we're going to need to expand this room because so many people are interested, and we're very excited about that. It's a privilege to cover this White House, but we want all voices to be heard.So, thanks for being us with -- here, Chris."
Karoline Leavitt,Thank you.,And I hope you enjoy the briefing. Sure.Jordan.
Karoline Leavitt,"Thanks, Karoline. Data out this morning showed that consumer prices were up across a variety of goods. And just before that report, though, President Trump called for lower interest rates. The Fed said it's holding rates steady to try and tamp down further inflation. So, how would lowering rates help keep inflation in check for the American people?","Sure. Well, first of all, on the inflation point. We did receive those numbers, and they were worse than expected, which tells us that the Biden administration indeed left us with a mess to deal with. It's far worse than I think anybody anticipated because, unfortunately, the previous administration was not transparent in where the economy truly was.We know people at this very podium told the American people that inflation was transitory and that it would go away. That was not the case. And now the last report of the Biden administration, as revealed today, shows that inflation is still about 4.5 percent higher over the past three months. This is an indictment on the Biden administration's mismanagement of the inflation crisis and their lack of transparency in addressing it.As for tackling inflation and interest rates, the president has made his position on this very clear. He wants interest rates to be lower, he wants inflation to be lower, and he believes that the whole-of-government economic approach that this administration is taking will result in lower inflation. I have said that from this podium many times.The president had record-low interest rates and inflation rates in his first term. He believes that the economy can handle it and withstand it. And we're doing a lot to tackle the inflation effort on this front. It's a whole-of-government economic approach. And I've talked about what we're doing to tackle inflation quite a few times from this podium."
Karoline Leavitt,"Can you update us on reciprocal tariffs, if that's going to come before Prime Minister Modi's visit tomorrow?","I do believe it will come before the prime minister's visit tomorrow, and I will let the president discuss the details on the reciprocal tariff front.But this is something he believes strongly in, and it's very simple logic as to why the president wants to impose reciprocal tariffs. It's the golden rule, which we all learned when we were growing up in school: Treat others the way you want to be treated.And far too many nations around this world have been ripping off the United States of America for far too long, and that's why the president believes this will be a great policy that will benefit American workers and improve our national security.JJ."
Karoline Leavitt,"On DOGE and the fraud claims. Elon Musk, in the Oval yesterday, gave us some information on that. We're just wondering if there's some proof, evidence. Is the White House willing to share evidence of those fraud claims, or can Elon Musk come to the briefing room and share material evidence of what he's talking about?","Sure. I would love for Elon Musk to come to the briefing room. That's why we had him go to the Oval Office yesterday, where I think he provided great answers. He was speaking in layman's terms, speaking common sense to all of you in the media but also to Americans at home. But I would say especially to all of you in the media, because I think it's a real fallacy that there's this alleged lack of transparency when it comes to DOGE.President Trump and Elon Musk have been incredibly transparent on what DOGE is doing. There is an X account with a DOGE handle. They are tweeting out what they are doing on a daily basis. They have a website where they are posting the receipts of the contracts that they are reviewing and the payments that they have stopped from going out the door -- the secretaries of our departments have stopped from going out the door.And I would also say that before it was Elon Musk making our government efficient and accountable, it was some unnamed bureaucrat that none of you knew. Elon Musk is the richest man in the world. He's also now one of the most highly scrutinized men in the world, alongside President Trump, because of what he's doing and the access that he is allowing. So, there's great transparency.As for the actual receipts, we are happy to provide them, and I actually brought some today, because all of you know I love to bring the receipts. We have contracts upon contracts that we can send and provide this information to you.Let me be very clear: We are not trying to hide anything. We have been incredibly transparent, and we will continue to be.These are screenshots of contracts that DOGE found across our government. This is a DEI contract: $36,000 for U.S. Citizenship and Immigration Services. That is against the president's policies in his America First agenda.This is a $3.4 million contract, a Council for Inclusive Innovation at the U.S. Patent and Trademark Office, Department of Commerce -- another DEI contract that DOGE identified.I can continue to go through these. Oh, I love this one: 57,000 bucks for climate change in Sri Lanka. What is this doing to continue the interests of the American people? Absolutely nothing.These are the line items across the federal government that DOGE is identifying daily. They're moving very fast. There's a lot of paper that we can show you, but we're happy to do it.This administration has been more than transparent about what DOGE is doing. And here's one of their tweets that they posted about the mine -- I believe this is in Pennsylvania -- where the Federal Employee Retirement System is being processed. Did anybody know this was even happening in our country before Elon Musk talked about it in the Oval Office yesterday? A lot of Americans didn't.So, we are providing transparency and accessibility on a daily basis when it comes to DOGE. And I also have a DOGE daily report, if anybody would like it, on all of the things that w- -- they are identifying and finding. We're happy to provide this information to you."
Karoline Leavitt,One quick follow-up.,We're talking about it every single day.
Karoline Leavitt,"Is -- are all those things you just mentioned fraud, or are they waste, or are they just contrary to the president's policies?","I would argue that all of these things are fraudulent, they are wasteful, and they are an abuse of the American taxpayers' dollar. This is not what the government should be spending money on. It's contrary to the president's priorities and agenda.And, again, we can continue to provide you the receipts for all of the fraud, waste, and abuse. And if anybody in here wants to argue that the federal government is not fraudulent in some capacity, be my guest, because I think the American people watching at home would beg to differ."
Karoline Leavitt,Karoline --,Mary.
Karoline Leavitt,Hey. More on the judges. Does the White House believe the courts have the authority to issue these nationwide injunctions?,"We believe that the injunctions that have been issued by these judges have no basis in the law and have no grounds. And we will, again, as the president said very clearly yesterday, comply with these orders, but it is the administration's position that we will ultimately be vindicated. And the president's executive actions that he took were completely within the law. They were constitutional. And we look forward to the day where he can continue to implement his agenda.And I would just add, it's our view that this is the continuation of the weaponization of justice that we have seen against President Trump. He fought it for two years on the campaign trail. It won't stop him now.Brian."
Karoline Leavitt,"Yes. I want to go back to DOGE just for a second. Earlier, the subcommittee head- -- headed by Chairman Marjorie Taylor Greene, her and her staff discovered $2.7 trillion in improper payments to Medicare, Medicaid, overseas to people who should not have gotten it. Some in this room might have missed that press conference. Can you elaborate on what the president is thinking at this point?","Well, again, that's another example. There's a very long list of the fraud, waste, and abuse that DOGE is identifying on a daily basis. Elon Musk also talked about yesterday, about Social Security payments that are going out the door for people who are no longer with us, unfortunately. I would say that is certainly fraud.There's also a lot of contracts they've identified that, just as a hypothetical example, are a million bucks, but only 500,000 went out the door. So, where's the rest of that cash?And so, that's the thing -- those are the things that DOGE is working on every single day. And I would just remind everybody in this room: This is what President Trump campaigned on doing. He's delivering on a promise that 77 million people elected him to do."
Karoline Leavitt,Karoline.,James.
Karoline Leavitt,"Thank you very much, Karoline. Two foreign policy questions, if I may.",Sure.
Karoline Leavitt,"First, the statement that was released after this morning's phone calls identified Mr. Witkoff as the special envoy who will be part of the delegation that undertakes to resolve the Russia-Ukraine war. I had thought that that individual was General Kellogg. And so, can you clear that up?","Sure, I'd be happy to. As you mentioned, the president, in his Truth, following the phone call with Vladimir Putin, said that he has asked Secretary of State Rubio; the director of the CIA, John Ratcliffe; our national security advisor here at the White House, Michael Waltz; and Steve Witkoff to lead the negotiations.As for General Keith Kellogg, he remains a critical part of this team and this effort. He's played a tremendous role in getting the negotiations to this point, and he's very much still part of the Trump administration."
Karoline Leavitt,"The other subject is Iran. I took note of President Trump's comments in his Super Bowl interview with our colleague, Bret Baier, to the effect that he wants to do a deal with Iran.",Mm-hmm.
Karoline Leavitt,"However, that interview appeared after the supreme leader of Iran, the Ayatollah Ali Khamenei, had already ruled out any additional negotiations with the United States.","Well, the president has made it very clear that he will never allow Iran to have nuclear capabilities. That is a redline that he has drawn, and he will not allow that to happen.But you asked why President Trump wants to make a deal. I would remind you he is the master of the art of the deal. He is America's dealmaker in chief. He leads from a position of securing peace through strength. And I think, time and time again, already, in just four weeks, we have seen the president being able to negotiate successful deals with our partners, our adversaries all around this world.You know, the release of Marc Fogel just last night is something that I think speaks to the president's dealmaking ability. This is something that the Biden administration allegedly tried to do for three and a half years. I think you all should go back and ask some of those Biden administration officials what they even tried to do and why weren't they successful. Because for three and a half years, Marc Fogel sat in a Russian prison, and it took President Trump three weeks to get him back on American soil.There's nobody better at making deals than Donald Trump."
Karoline Leavitt,Karoline.,Phil Wegmann.
Karoline Leavitt,"Thank you. Two foreign policy questions. Ukrainian President Zelenskyy has said, after the war, that he wants NATO membership or nuclear weapons. We heard Defense Secretary Hegseth say that NATO membership was unrealistic. What's the president's view on the other option, on a nuclear Ukraine?","I have not talked to President Trump about Ukraine's NATO membership or their nuclear capabilities. I would leave it to him to discuss, but I will tell you again that Secretary Rubio and also the vice president, JD Vance, will be meeting directly with President Zelenskyy in Munich on Friday, and I'm sure they will provide a readout of that conversation and that discussion."
Karoline Leavitt,"And then a second question. Given that this administration has called on Europe to take, you know, more responsibility for their own defense, I'm wondering: Will the EU or any other European nation, other than Ukraine, be involved in these peace talks?","I don't have any European nations who are involved currently to read out for you. Certainly, you know, the president has employed a very strong team -- or deployed a very strong team to continue these negotiations. And the fact that he was on the phone with both President Putin and President Zelenskyy today shows that he's very much involved in this effort as well."
Karoline Leavitt,"And then just a follow-up, I guess.",Sure.
Karoline Leavitt,Should we expect the president to negotiate in person with Zelenskyy and -- and Putin?,"I don't have anything to read out on that for you today.Maggie, good to see you."
Karoline Leavitt,"Thanks, Karoline. Thanks. Thanks for taking the question.","I have not seen the law that you are referring to. What I can tell you is that Elon Musk, as I have confirmed before, is a special government employee. He is filing the proper financial disclosure, and he is complying with all applicable federal laws.As you also heard, Elon addressed this directly yesterday in the alleged conflict of interest, and he said everything he's doing is very public, and if you all perceive a conflict of interest, you're welcome to bring that up.And as the president said, if he feels like Elon is engaging in something that's a conflict of interest, he will tell Elon not to do that. And the pr- -- and Elon also said yesterday that before he moves forward with anything, he consults with the president of the United States.So, we're very confident with the ethics and the guardrails that have been put in place here."
Karoline Leavitt,Okay. Thanks.,Kaitlan.
Karoline Leavitt,"Thanks, Karoline. I have a few things for you, but on the commitment by President Trump, he said that he and President Putin agreed to visit each other's respective nations. Are there any preconditions that President Trump has that President Putin must do before he goes and meets with him -- withdrawing some forces, withdrawing all forces, anything like that?","Not that I'm aware of. That doesn't mean they don't exist. But I was just talking with the president and our national security team. I wasn't made aware of any conditions, but if they exist, I'm happy to provide those."
Karoline Leavitt,"And on the president himself. You know, he styles himself as this master negotiator. He is now deploying these negotiations, saying that they start immediately. We did hear from the Defense secretary, Pete Hegseth, though, today saying that NATO membership is not realistic for Ukraine and neither is returning to pre-2014 borders. Aren't they giving away bargaining chips before these negotiations have even started?","Again, I haven't talked to the president about Ukraine's NATO membership, and he appointed several individuals to negotiate on his behalf. He's directly involved in these negotiations as well. And I'm sure if you ask him that question in the near future, when you're able to, he'll give you an answer. I just don't want to get ahead of him on it."
Karoline Leavitt,And final thing for you. Which White House official made the decision to bar the AP reporter from the Oval Office and the Diplomatic Reception Room last night?,"Well, first of all, let me just set the record straight. It is a privilege to cover this White House. It's a privilege to be the White House press secretary. And nobody has the right to go into the Oval Office and ask the president of the United States questions. That's an invitation that is given. And there are hundreds of outlets on this campus -- many of you in this room -- who don't have the privilege of being part of that pool every single day and getting to ask the president questions.We reserve the right to decide who gets to go into the Oval Office, and you all have credentials to be here, including the Associated Press, who is in this briefing room today."
Karoline Leavitt,"But isn't it retaliatory in nature is -- is the argument, because there is a reason that the AP was barred, which they said was because they're not using the phrase Gulf of America; they're using Gulf of Mexico, in line with their standards. And so, the question here is: Is this setting a precedent that this White House will retaliate against reporters who don't use the language that you guys believe reporters should use? And how does that align with the First Amendment commitment that you were just talking about?","I was very upfront in my briefing on day one that if we feel that there are lies being pushed by outlets in this room, we are going to hold those lies accountable. And it is a fact that the body of water off the coast of Louisiana is called the Gulf of America. And I'm not sure why news outlets don't want to call it that, but that is what it is.The secretary of Interior has made that the official designation in the geographical identification name server, and Apple has recognized that, Google has recognized that, pretty much every other outlet in this room has recognized that body of water as the Gulf of America. And it's very important to this administration that we get that right not just for people here at home but also for the rest of the world.Sure."
Karoline Leavitt,"Thank you, Karoline. The prisoner exchange with Russia coming at the same time as the president is now announcing negotiations to end the war in Ukraine -- the timing of that is hard to ignore. Was Ukraine discussed as part of this prisoner swap?","I was not involved in those discussions, so I can't comment on whether that came up or not. What I can say is that this was a very good deal for the United States of America and for the rest of the world.As you know, we have confirmed that the Russian who will be returning home very soon, Alexander Vinnik, was a nonviolent crypto criminal. And as part of this exchange, he has forfeited more than $100 million that he obtained in that illegal crime.And in exchange, of course, we got Marc Fogel, who is a middle school teacher, who kissed the American soil, kissed the ground last night when he returned to the United States of America. It was a great deal and a great day for our country. And I think everybody, regardless of political affiliation, agrees with that."
Karoline Leavitt,Was -- was Russia made aware ahead of time of the parameters that the administration and Secretary Hegseth was going to be announcing today?,The NATO parameters?
Karoline Leavitt,Yes.,I'm not sure. You'd have to ask Secretary Hegseth and the Defense Department on that --
Karoline Leavitt,"Karoline, follow-up --",-- since he announced them.
Karoline Leavitt,-- a follow-up on Russia.,Jacqui.
Karoline Leavitt,"Thank you, Karoline. Just to be clear, so when we're listening for a shift in position on U.S. policy, should we only listen to the president and maybe not the secretary of Defense? Because what he outlined today would represent a shift in U.S. policy.","I'm not saying that. I'm just saying I speak for the president of the United States behind this podium, and I will let him discuss that.Weijia."
Karoline Leavitt,Can you tell us any more about the next hostage releases? I understand another --,Yeah.
Karoline Leavitt,-- American is coming out today.,"Sure. I'm glad you asked. It speaks to President Trump's dealmaking ability. And we can confirm the safe release of one American and two individuals from Belarus, one of whom worked for Radio Liberty. Out of respect for the privacy of these individuals, their request, we have no further details to announce on their identities. But we can confirm that one American was released today, and it's a remarkable victory on the heels of Marc Fogel returning to America last night."
Karoline Leavitt,Anything on who the U.S. might be releasing in exchange?,I don't have details on that at this moment.
Karoline Leavitt,Are we releasing anyone in exchange?,I don't have details on that at this moment. I do know that these three individuals have been released and are on their way home to their respective countries.Weijia.
Karoline Leavitt,"Karoline, thank you so much. Can you explain how President Trump envisions the war in Russia and Ukraine coming to an end? Does he expect Ukraine to hand over all the territory in question?","Again, these negotiations are ongoing. I will allow the president to divulge any red lines that he may set. But I think as deals in the past have come to fruition, the president has proven one of the things that makes him a very effective negotiator is not revealing what he's anticipating from both sides. But he is at the forefront of these negotiations, in addition to the very qualified individuals who he's tasked with speaking to both President Putin and President Zelenskyy."
